Name,2017,2018,2019,2020,2021,2022
Ampara,11.29643498,11.5870852,11.27982567,12.07918032,12.53025452,12.37138163
Anuradhapura,17.03178316,15.68661812,17.06097739,17.41945703,18.39680892,18.13701181
Badulla,6.796713101,7.096854261,6.78442879,6.969959414,7.056043775,6.914447987
Batticaloa,5.310033672,5.543360658,4.99710653,5.343499978,5.750005827,5.94573011
Colombo,0.945667131,0.909656407,0.900640255,0.878561814,0.889909401,0.931576126
Galle,4.634715447,4.473849445,4.404865433,4.216502354,4.390025638,4.368008058
Gampaha,2.029138112,1.624733061,1.642852578,1.503785762,1.710621343,1.718974057
Hambantota,5.993046063,6.217076084,6.154504981,6.263377889,5.943815953,5.830364025
Jaffna,2.969516895,2.738570314,2.649135035,2.74142014,3.486083571,3.495387674
Kalutara,4.337098003,4.153253411,4.144925763,4.063170218,4.147647561,4.182415212
Kandy,4.63810522,4.808301832,4.433323018,4.533737739,4.720383217,4.622502983
Kegalle,4.868655155,4.600250311,4.517306307,4.477193264,4.59940092,4.619684842
Kilinochchi,3.041613396,2.836258678,2.956761373,3.036136778,3.646345589,3.532681017
Kurunegala,11.72439405,10.03006103,11.09609874,10.46801717,11.00625707,10.3931761
Mannar,5.751561046,5.580499836,5.686415675,5.809077869,6.178484645,6.071837292
Matale,5.730736548,5.855628894,5.851862385,5.901968327,6.155464817,6.067665311
Matara,3.237748194,3.200653346,3.102680219,2.992795368,3.051650634,3.061559003
Moneragala,15.42774821,15.91165119,15.80359722,16.43005339,16.32593073,16.05343197
Mullaitivu,8.350148639,8.190637767,8.679759751,8.698949981,9.27391576,9.122556615
NuwaraEliya,4.634668651,4.812004869,4.453798854,4.411894558,4.679207195,4.650604972
Polonnaruwa,8.630711933,9.229041187,8.865308154,9.217726817,9.584128462,9.641864359
Puttalam,9.716514625,8.880087664,9.707316476,9.537660832,10.13480563,9.702362395
Ratnapura,9.456516496,9.622662101,9.462860522,9.210943839,9.440648481,9.429483265
Trincomalee,7.519290561,7.658497356,7.680969887,7.797964395,8.436884721,8.442707195
Vavuniya,5.49623433,5.050363107,5.200164423,5.159095418,5.500715976,5.38324654
